city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Pvt Ltd,5,32,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,21,Small & Medium-org.,Pvt Ltd,5,11,0.0
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Pvt Ltd,1,41,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Large-org.,Public Sector,5,87,1.0
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,Small & Medium-org.,Pvt Ltd,4,114,0.0
city_70,0.698,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,21,Undefined,Pvt Ltd,5,33,0.0
city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,Small & Medium-org.,Early Stage Startup,1,15,0.0
city_16,0.91,Undefined,No relevent experience,Full time course,High School,STEM,3,Undefined,Pvt Ltd,1,8,0.0
city_173,0.878,Female,Has relevent experience,Part time course,High School,STEM,2,Small & Medium-org.,NGO,1,22,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Large-org.,Pvt Ltd,4,13,0.0
city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Public Sector,1,246,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Small & Medium-org.,Pvt Ltd,1,22,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Small & Medium-org.,Funded Startup,1,81,0.0
city_175,0.7759999999999999,Undefined,Has relevent experience,Full time course,Graduate,STEM,4,Small & Medium-org.,Funded Startup,1,11,0.0
city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,Large-org.,Pvt Ltd,0,24,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Funded Startup,1,50,0.0
city_104,0.924,Male,No relevent experience,Full time course,High School,STEM,6,Undefined,Pvt Ltd,0,15,0.0
city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Small & Medium-org.,Pvt Ltd,5,31,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Small & Medium-org.,Pvt Ltd,0,84,0.0
city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,Large-org.,Pvt Ltd,1,42,0.0
city_21,0.624,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,10,Small & Medium-org.,Pvt Ltd,5,105,1.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Pvt Ltd,5,72,0.0
city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Small & Medium-org.,Pvt Ltd,5,42,1.0
city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Small & Medium-org.,Early Stage Startup,1,152,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Large-org.,Pvt Ltd,1,60,0.0
city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,Undefined,Pvt Ltd,0,8,0.0
city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,Undefined,Pvt Ltd,3,17,1.0
city_83,0.923,Male,No relevent experience,no_enrollment,High School,STEM,1,Undefined,Pvt Ltd,1,33,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,Small & Medium-org.,Funded Startup,0,38,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,Small & Medium-org.,Early Stage Startup,2,178,0.0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Small & Medium-org.,Pvt Ltd,1,11,0.0
city_36,0.893,Male,Has relevent experience,no_enrollment,High School,STEM,21,Undefined,Pvt Ltd,0,87,0.0
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Undefined,Pvt Ltd,0,84,0.0
city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Small & Medium-org.,Early Stage Startup,2,32,0.0
city_100,0.887,Undefined,Has relevent experience,no_enrollment,Masters,STEM,9,Small & Medium-org.,Pvt Ltd,1,31,1.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Small & Medium-org.,Public Sector,1,39,0.0
city_59,0.775,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,7,Small & Medium-org.,Pvt Ltd,1,12,0.0
city_21,0.624,Undefined,Has relevent experience,Full time course,Graduate,STEM,5,Large-org.,Pvt Ltd,1,50,0.0
city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Small & Medium-org.,Pvt Ltd,1,55,1.0
city_11,0.55,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,5,Small & Medium-org.,Pvt Ltd,0,7,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,Small & Medium-org.,Early Stage Startup,1,104,0.0
city_160,0.92,Undefined,Has relevent experience,Full time course,Graduate,Business Degree,21,Undefined,Pvt Ltd,5,90,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,21,Small & Medium-org.,Pvt Ltd,5,8,0.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,Undefined,Pvt Ltd,0,102,0.0
city_21,0.624,Undefined,Has relevent experience,no_enrollment,Masters,STEM,0,Small & Medium-org.,Pvt Ltd,1,202,1.0
city_145,0.555,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,4,Small & Medium-org.,Pvt Ltd,1,22,0.0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,Undefined,Pvt Ltd,0,42,0.0
city_160,0.92,Undefined,No relevent experience,no_enrollment,Primary School,STEM,4,Undefined,Pvt Ltd,0,50,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,Small & Medium-org.,Funded Startup,1,88,0.0
city_73,0.754,Undefined,Has relevent experience,no_enrollment,Graduate,STEM,5,Large-org.,Pvt Ltd,4,81,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Large-org.,Pvt Ltd,1,7,0.0
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Undefined,Pvt Ltd,0,218,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Large-org.,Pvt Ltd,5,62,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Small & Medium-org.,Pvt Ltd,1,83,0.0
city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Large-org.,Pvt Ltd,5,11,0.0
city_114,0.926,Male,No relevent experience,Part time course,Phd,STEM,21,Small & Medium-org.,Pvt Ltd,5,10,0.0
city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,Large-org.,Pvt Ltd,1,114,0.0
city_21,0.624,Undefined,Has relevent experience,no_enrollment,Masters,STEM,3,Small & Medium-org.,Pvt Ltd,1,36,0.0
city_102,0.804,Undefined,No relevent experience,no_enrollment,Masters,STEM,6,Small & Medium-org.,Pvt Ltd,1,17,0.0
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,Undefined,Pvt Ltd,0,80,1.0
city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,21,Small & Medium-org.,Public Sector,5,108,0.0
