city,city_development_index,experience,company_size,last_new_job,training_hours,target,gender Female,gender Male,gender Other,gender Undefined,relevent_experience Has relevent experience,relevent_experience No relevent experience,enrolled_university Full time course,enrolled_university Part time course,enrolled_university no_enrollment,education_level Graduate,education_level High School,education_level Masters,education_level Phd,education_level Primary School,major_discipline Arts,major_discipline Business Degree,major_discipline Humanities,major_discipline No Major,major_discipline Other,major_discipline STEM,company_type Early Stage Startup,company_type Funded Startup,company_type NGO,company_type Other,company_type Public Sector,company_type Pvt Ltd
21,-0.06582272428503738,4.601887990642422,1,0.6931471805599453,7.037288709756777,1.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
64,-0.06526603118348953,6.022866377400789,1,0.0,6.959639853074309,0.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
21,-0.06582272428503738,6.022866377400789,0,1.3862943611198906,2.2718682302390047,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,4.060961901053334,2,0.0,4.258737243913168,1.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,4.060961901053334,1,0.0,6.507514897618092,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,9.658592990732298,0,1.6094379124341003,5.494240044420328,1.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
101,-0.06635397062685557,8.340146945171751,2,1.791759469228055,3.8266430216040646,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
83,-0.043277142229616365,6.855011997926303,1,0.6931471805599453,3.9055943076480215,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
101,-0.06635397062685557,3.4699883298945324,2,0.6931471805599453,6.622814684718091,1.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
64,-0.06526603118348953,6.448100708918908,1,1.0986122886681098,6.838542121142727,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
105,-0.0611657577995554,4.060961901053334,0,1.791759469228055,4.258737243913168,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
104,-0.04298439955578926,2.8095982716820473,1,1.0986122886681098,2.2718682302390047,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
114,-0.04238594281992869,3.4699883298945324,0,0.6931471805599453,5.141332425026924,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
104,-0.04298439955578926,10.27158153110853,1,0.6931471805599453,5.224750900689981,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
73,-0.06304386642061029,2.0427257440778885,1,1.0986122886681098,5.494240044420328,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
103,-0.04413029727684965,10.27158153110853,2,1.0986122886681098,3.744319767921057,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,2.0427257440778885,1,0.0,4.614160650970413,1.0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
162,-0.06251765811800884,10.27158153110853,1,1.791759469228055,4.258737243913168,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67,-0.05608942537086867,4.601887990642422,2,0.6931471805599453,6.577337648426337,0.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75,-0.03803299998795724,4.601887990642422,1,1.3862943611198906,4.192953934458125,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,-0.05886565751859643,7.62281183419631,1,0.6931471805599453,3.3737438300870375,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
100,-0.05147716805339935,10.27158153110853,1,1.791759469228055,5.344251835386054,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,-0.0663984588105094,2.8095982716820473,2,0.0,6.754465033369064,0.0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
93,-0.0548446427070737,6.448100708918908,1,1.0986122886681098,7.555668856325592,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,-0.05608942537086867,3.4699883298945324,0,1.6094379124341003,3.156278884346509,0.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16,-0.046722899633534806,8.340146945171751,2,1.791759469228055,5.305128925840359,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,-0.046722899633534806,7.987118815062776,1,0.6931471805599453,4.384199449237762,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
90,-0.06466624215360443,2.0427257440778885,2,0.0,8.65298243106313,1.0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
64,-0.06526603118348953,10.27158153110853,2,1.6094379124341003,3.981463099346513,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,-1.0173571894581195,2,0.0,3.65829080106677,1.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
13,-0.05886565751859643,2.0427257440778885,1,0.6931471805599453,4.444143409519382,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,-0.05608942537086867,4.060961901053334,1,0.6931471805599453,5.265304698915554,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,-0.0663984588105094,-1.0173571894581195,2,0.0,3.036840353774468,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,4.060961901053334,1,1.0986122886681098,3.568168419525467,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36,-0.05037676803674548,4.060961901053334,1,1.0986122886681098,5.923000734914632,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,2.8095982716820473,1,0.6931471805599453,4.771345201944049,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67,-0.05608942537086867,6.022866377400789,0,1.3862943611198906,3.2682627375103257,0.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,2.0427257440778885,1,0.6931471805599453,1.5452331942640736,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
103,-0.04413029727684965,8.340146945171751,1,1.791759469228055,3.036840353774468,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
160,-0.04413029727684965,10.27158153110853,1,1.0986122886681098,6.959639853074309,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,10.27158153110853,2,0.6931471805599453,7.459846541926426,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,4.060961901053334,1,0.6931471805599453,4.322439248438441,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20,-0.06104913566051079,3.4699883298945324,1,0.6931471805599453,6.179533937404811,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
71,-0.05199521614167322,8.340146945171751,1,0.6931471805599453,6.483793990225402,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
57,-0.05471135938521298,-1.0173571894581195,1,1.0986122886681098,6.411223260200361,0.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,3.4699883298945324,2,1.3862943611198906,6.20640341391263,0.0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
152,-0.06466624215360443,6.855011997926303,2,1.0986122886681098,5.098401596969578,0.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
103,-0.04413029727684965,4.601887990642422,1,0.6931471805599453,9.587384551333216,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
61,-0.045983474937016613,3.4699883298945324,2,0.0,7.524109791876497,0.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,-0.046722899633534806,2.8095982716820473,2,0.0,8.120027800988,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,2.8095982716820473,1,0.6931471805599453,3.156278884346509,1.0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
19,-0.06498891186914361,4.060961901053334,1,1.0986122886681098,7.989467917459692,1.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,6.448100708918908,1,0.6931471805599453,5.344251835386054,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
65,-0.060683521913799145,6.022866377400789,1,0.6931471805599453,4.667874496034204,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
160,-0.04413029727684965,2.0427257440778885,1,0.6931471805599453,7.555668856325592,0.0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
74,-0.06621945071293543,2.0427257440778885,1,0.6931471805599453,4.720245454285006,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
65,-0.060683521913799145,4.601887990642422,1,1.0986122886681098,3.2682627375103257,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,-0.0663984588105094,4.601887990642422,1,1.0986122886681098,4.322439248438441,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,-0.0663984588105094,5.576298126651183,1,0.6931471805599453,4.124933702466748,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
173,-0.05297185218276566,10.27158153110853,2,0.6931471805599453,7.678310609231166,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,6.855011997926303,1,1.791759469228055,3.8266430216040646,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
103,-0.04413029727684965,4.060961901053334,1,0.6931471805599453,7.524109791876497,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,-0.046722899633534806,7.245954608194154,0,0.6931471805599453,5.494240044420328,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75,-0.03803299998795724,10.27158153110853,1,1.0986122886681098,7.824162397154534,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
136,-0.04959214807526851,6.022866377400789,0,1.0986122886681098,1.1963426131213175,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,2.0427257440778885,1,1.0986122886681098,0.7308917818884136,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,-0.046722899633534806,10.27158153110853,0,1.791759469228055,4.384199449237762,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
73,-0.06304386642061029,10.27158153110853,2,1.6094379124341003,5.265304698915554,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
67,-0.05608942537086867,5.576298126651183,1,0.6931471805599453,8.456163878199302,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
114,-0.04238594281992869,6.448100708918908,1,0.6931471805599453,4.821239671223904,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
98,-0.03405156835535361,3.4699883298945324,2,0.6931471805599453,7.824162397154534,1.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,2.0427257440778885,1,1.0986122886681098,6.817784333360199,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
114,-0.04238594281992869,4.601887990642422,1,0.6931471805599453,5.265304698915554,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
97,-0.042687357835953635,10.27158153110853,0,1.791759469228055,3.744319767921057,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,2.8095982716820473,1,1.0986122886681098,4.258737243913168,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
90,-0.06466624215360443,5.104436473296454,1,0.6931471805599453,6.577337648426337,0.0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50,-0.049792315241878736,6.022866377400789,1,1.6094379124341003,5.734964859147202,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
160,-0.04413029727684965,6.448100708918908,1,0.6931471805599453,8.972936402057119,0.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,-0.06582272428503738,6.855011997926303,1,1.791759469228055,6.179533937404811,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,-0.046722899633534806,10.27158153110853,1,1.0986122886681098,3.8266430216040646,1.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
173,-0.05297185218276566,7.245954608194154,1,1.0986122886681098,2.4551835885450153,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,4.601887990642422,1,0.6931471805599453,7.3772620887856695,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
138,-0.058072252939463685,5.104436473296454,2,0.6931471805599453,5.224750900689981,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
82,-0.06477242865656514,6.855011997926303,1,1.0986122886681098,6.979274163350294,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,-0.05608942537086867,2.8095982716820473,1,0.6931471805599453,6.068929760740119,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
103,-0.04413029727684965,10.27158153110853,1,1.791759469228055,3.568168419525467,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
103,-0.04413029727684965,8.340146945171751,1,0.6931471805599453,5.457671122783349,0.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,4.601887990642422,1,1.3862943611198906,5.767380761741793,1.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36,-0.05037676803674548,10.27158153110853,0,1.791759469228055,1.5452331942640736,0.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
114,-0.04238594281992869,7.245954608194154,1,1.791759469228055,2.2718682302390047,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
102,-0.06055617196067113,10.27158153110853,1,1.3862943611198906,7.880380121377863,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
64,-0.06526603118348953,9.968460867297543,2,1.6094379124341003,9.244331472550996,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
102,-0.06055617196067113,2.0427257440778885,1,0.0,7.602319238436613,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
103,-0.04413029727684965,-1.0173571894581195,2,0.0,6.068929760740119,0.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,2.8095982716820473,2,0.6931471805599453,4.124933702466748,0.0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,2.8095982716820473,0,0.6931471805599453,7.410606214484409,1.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,-0.0663984588105094,2.0427257440778885,2,0.6931471805599453,3.8266430216040646,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,-0.04413029727684965,6.448100708918908,1,0.6931471805599453,6.232975543013922,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
90,-0.06466624215360443,4.060961901053334,2,1.6094379124341003,3.9055943076480215,1.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,-0.06582272428503738,5.576298126651183,0,1.0986122886681098,4.720245454285006,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
